"Region","Is_Latest","Page","Section","Section_order","Row_key","Slot_key","Row_label_source","Row_label_footnote_refs","Line_order","Param_source","Param_footnote_refs","Value_source","Value_footnote_refs","Row_label_fr","Param_fr","Value_fr","Row_label_es","Model","Param_es","Value_es","Source_lang"
"US","TRUE","Product overview","INPUT PORTS","2","dc_input","side.car.spec","Car Input","","1","","","Car: 11-16V⎓8A Max, Double to 8A Max","","","","Voiture: 11-16 V⎓8 A max., double à 8 A max.","","JE-1000F","","Auto: 11-16 V⎓8 A Máx, Doble a 8A Máx","en"
"US","TRUE","Product overview","INPUT PORTS","2","ac_input","side.label","AC Input","","1","","","AC Input","","","","Entrée CA","","JE-1000F","","Entrada de CA","en"
"US","TRUE","Product overview","INPUT PORTS","2","ac_input","side.spec","AC Input","","1","","","100V-120V~60 Hz, 15A Max","","","","100 V-120 V~ 60 Hz, 15 A max.","","JE-1000F","","100 V-120 V~ 60 Hz, 15 A Máx","en"
"US","TRUE","specifications","SETTINGS","8","default_standby_duration","value","Default Standby Duration","","1","","","2 hours","","","","2 heures","","JE-1000F","","2 horas","en"
"US","TRUE","specifications","SETTINGS","8","energy_saving_auto_off_duration","value","Energy Saving Auto Off Duration","","1","","","12 hours","","","","12 heures","","JE-1000F","","12 horas","en"
"US","TRUE","specifications","SETTINGS","8","energy_saving_ac_threshold","value","Energy Saving AC Threshold","","1","","","25W","","","","25W","","JE-1000F","","25W","en"
"US","TRUE","specifications","SETTINGS","8","energy_saving_dc_threshold","value","Energy Saving DC Threshold","","1","","","2W","","","","2W","","JE-1000F","","2W","en"
"US","TRUE","specifications","OUTPUT PORTS","3","usb_c_high_power_port","label","USB-C 100W Port","","1","","","USB-C 100W","","","","USB-C 100W","","JE-1000F","","USB-C 100W","en"
"US","TRUE","specifications","OUTPUT PORTS","3","ups_bypass_output","text","UPS Bypass Output","","1","","","1500W","","","","1500W","","JE-1000F","","1500W","en"
"JP","TRUE","Product overview","CONTROLS","7","main_power_button","label","Main Power Button","","1","","","主電源ボタン","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","CONTROLS","7","dc_usb_power_button","label","DC/USB Power Button","","1","","","DC/USB出力ボタン","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","CONTROLS","7","ac_power_button","label","AC Power Button","","1","","","AC出力ボタン","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","dc12_port","front.label","DC 12V Port","","1","","","シガーソケット出力ポート","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","dc12_port","front.spec","DC 12V Port","","1","","","12V⎓最大10A","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.low.label","USB-C 30W Output","","1","","","USB-C 30W出力ポート","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.low.spec","USB-C 30W Output","","1","","","5V⎓3A，9V⎓3A，12V⎓2.5A，15V⎓2A，20V⎓1.5A，最大30W","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.high.label","USB-C 100W Output","","1","","","USB-C 100W出力ポート","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.high.spec","USB-C 100W Output","","1","","","5V⎓3A，9V⎓3A，12V⎓3A，15V⎓3A，20V⎓5A，最大100W","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","usb_a","front.label","USB-A 18W Output","","1","","","USB-A 18W出力ポート","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","usb_a","front.spec","USB-A 18W Output","","1","","","5-6V⎓3A，6-9V⎓2A，9-12V⎓1.5A，最大18W","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","ac_output","front.label","AC Output","","1","","","AC出力ポート","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","OUTPUT PORTS","3","ac_output","front.spec","AC Output","","1","","","100V~ 50Hz/60Hz，最大15A，定格1500W，瞬間最大3000W","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","INPUT PORTS","2","dc_input","side.label","DC Input (2 x DC8020 Ports)","","1","","","DC入力ポート（DC8020）","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","INPUT PORTS","2","dc_input","side.pv.spec","PV Input","","1","","","PV：16V-60V⎓12A，2ポート最大21A，最大400W","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","INPUT PORTS","2","dc_input","side.car.spec","Car Input","","1","","","ｼｶﾞｰｿｹｯﾄ ：11V-16V⎓最大8A, 2ポート最大8A","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","INPUT PORTS","2","ac_input","side.label","AC Input","","1","","","AC入力ポート","","","","","","JE-1000F","","","ja"
"JP","TRUE","Product overview","INPUT PORTS","2","ac_input","side.spec","AC Input","","1","","","100V-120V~ 50Hz/60Hz，最大15A，最大約1450W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","SETTINGS","8","default_standby_duration","value","Default Standby Duration","","1","","","2時間","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","SETTINGS","8","energy_saving_auto_off_duration","value","Energy Saving Auto Off Duration","","1","","","12時間","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","SETTINGS","8","energy_saving_ac_threshold","value","Energy Saving AC Threshold","","1","","","25W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","SETTINGS","8","energy_saving_dc_threshold","value","Energy Saving DC Threshold","","1","","","2W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","usb_c_high_power_port","label","USB-C 100W Port","","1","","","USB-C 100W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","ups_bypass_output","text","UPS Bypass Output","","1","","","1500W","","","","","","JE-1000F","","","ja"
